matrix,0,1,2,3,4,5,6,accuracy,macro avg,weighted avg
precision,0.14154411764705882,0.14385150812064965,0.16022099447513813,0.13996316758747698,0.14119922630560927,0.16917293233082706,0.12598425196850394,0.14547570555717196,0.14599088549075198,0.14599088549075195
recall,0.15682281059063136,0.12627291242362526,0.11812627291242363,0.15478615071283094,0.14867617107942974,0.18329938900203666,0.13034623217922606,0.14547570555717196,0.14547570555717196,0.14547570555717196
f1-score,0.14879227053140098,0.13449023861171366,0.13599062133645956,0.14700193423597677,0.14484126984126985,0.1759530791788856,0.12812812812812815,0.14547570555717196,0.14502822026626208,0.14502822026626208
support,491.0,491.0,491.0,491.0,491.0,491.0,491.0,0.14547570555717196,3437.0,3437.0
